id,x,y,z,vx,vy,vz,energy,frequency,phase,spin
9135,33.9533,-147.7142,69.3751,1.022665,-13.298391,7.884487,1.6541,0.6660,4.1249,1
969,9.8890,-12.8057,-60.1607,7.267340,0.277821,2.859761,1.9329,0.5000,1.4423,-1
1404,-56.1187,34.1551,53.8919,-8.403421,-0.952997,8.736770,2.7841,1.3330,3.6536,-1
7120,28.4420,-37.5727,-119.2364,3.582979,2.652067,-5.998163,1.8885,1.5000,4.4116,1
5432,-70.5823,49.4970,184.1733,-6.671999,1.121858,9.376195,3.1200,1.0000,0.2560,-1
8513,29.5540,-277.7478,14.4959,1.613531,-16.601983,2.743193,3.4113,1.5000,2.2480,1
105,-3.1322,-42.4061,-15.6910,-5.594280,-1.165826,-0.864441,1.0843,0.5000,5.7362,1
4852,48.8230,-55.6221,-177.9239,2.230633,-7.871648,-19.560391,2.4771,2.0000,0.9049,1
3100,132.4144,114.3594,57.0027,-9.747624,-4.140795,-5.366467,2.4148,0.5000,1.3864,-1
132,109.6142,-68.0201,42.4070,1.467287,-6.604230,10.034087,2.7537,1.5000,3.7124,1
6398,29.6879,-35.7848,-70.8816,-10.401509,1.948456,11.827756,2.5512,1.5000,1.3820,-1
1822,-174.9213,-162.9832,122.2586,-17.126644,-16.597879,8.776207,3.2594,1.6180,4.0204,-1
9877,93.4060,-28.9549,-44.1855,7.584150,-7.541605,-6.866108,2.7276,1.3330,0.9162,-1
2728,-89.3966,-86.8314,37.1636,-3.130167,-3.775156,0.607138,2.4240,1.0000,1.4355,1
5151,12.9776,53.2667,-6.6318,8.579430,-0.817763,-3.696311,1.1601,1.0000,5.6379,-1
6765,184.9945,-112.0672,44.4097,11.627231,-5.813973,12.668534,0.8961,0.6660,0.8479,-1
1417,152.3200,-84.9122,143.1082,13.976429,-12.133299,15.375791,1.0791,0.6660,6.1033,-1
5591,231.0566,-50.3158,250.6394,10.285675,-0.142156,8.727497,3.0711,1.6180,1.2189,-1
5915,14.2218,-54.1942,-199.2314,2.222504,-5.266744,-8.999947,2.6419,1.3330,5.5999,1
3406,77.7289,9.7594,194.7239,3.565223,-3.238220,9.557018,2.9578,0.6660,1.4354,1
3748,23.7172,-38.4140,13.1850,-2.168308,-9.945430,2.745769,2.4781,1.3330,1.4622,-1
624,127.4293,-67.4415,142.6173,10.022271,-6.883660,14.437289,2.1465,1.5000,4.9384,1
8337,-40.0635,41.3270,-151.9141,2.201215,-0.225602,-10.162299,2.9947,1.3330,0.4561,1
8069,-198.8746,-106.6348,-70.3825,-8.481006,-5.315931,-5.767826,2.8754,0.6660,3.5777,1
2955,-78.1262,-177.3044,107.2544,-8.539780,-19.122661,7.175412,2.3558,1.5000,1.5181,1
3606,229.0234,-90.1833,-152.8804,14.053026,-4.013109,-7.589645,1.7505,1.0000,0.8190,-1
7300,-150.6856,-13.7986,-124.7156,-14.716050,-1.425971,-14.636262,2.7631,2.0000,3.6035,1
8299,91.6633,-140.6096,103.3369,5.766595,-0.999967,5.974720,1.7819,1.5000,1.5805,1
2323,-193.1196,-2.7301,105.4413,-11.261823,2.930869,1.886744,2.4614,0.6660,4.8257,-1
6352,16.5035,204.0125,-9.0751,-3.530932,12.687926,-2.292862,3.4977,1.3330,2.0311,1
21,151.7829,-127.5788,131.1175,-5.897912,7.192370,-5.490886,2.3294,2.0000,3.7526,1
1182,-109.2384,23.8056,-1.1324,-5.675014,-2.972975,5.619620,1.1743,1.0000,2.1949,1
8259,-80.6278,-0.0687,-8.8954,-6.234871,3.314310,-9.832651,3.4499,0.5000,4.9058,-1
2673,-171.3445,-91.6302,-50.3212,-18.326361,-8.889207,-2.951986,3.2436,1.6180,0.0052,1
1386,85.3142,56.4798,73.5241,-8.891046,-9.645638,-4.453429,0.7905,0.5000,5.4463,-1
6226,38.6780,55.4980,37.5519,5.925378,-0.010215,3.672742,1.8637,0.5000,5.3865,1
1501,40.4171,-31.2909,-142.3479,-0.541840,3.376584,12.327799,3.4558,1.5000,1.7804,-1
5583,97.8313,-211.2515,158.0890,8.663595,-21.150587,13.732203,3.3815,1.0000,1.0672,-1
8022,286.1971,-61.9282,-246.2838,0.266441,3.878125,-3.142555,1.0720,0.5000,5.4044,1
137,176.7235,181.8418,-150.1456,9.777778,14.753272,-10.130515,2.2550,1.0000,4.0635,1
4347,90.0294,40.6758,82.2997,0.747533,6.177962,-0.975349,2.3478,1.3330,5.2872,1
9950,-69.3724,-60.6229,-65.6452,-0.640795,-6.954515,1.697426,2.8063,1.6180,3.0662,-1
2816,26.0487,-65.8712,190.6907,2.517355,-4.086412,4.210606,1.6094,2.0000,2.4648,-1
8260,34.9429,7.6174,24.8943,-8.595212,-15.514230,4.281867,2.0373,1.6180,0.7224,1
237,83.2807,49.0391,-119.8354,-7.332596,-1.889684,10.289889,3.0814,1.6180,3.3394,-1
6340,128.6444,-164.1470,-38.1110,7.957711,-3.982209,-3.825741,1.0219,1.5000,4.7987,1
9943,39.9116,241.0758,-52.4441,2.334249,19.234042,-1.576450,1.9496,1.0000,4.1433,-1
907,91.0014,-193.3982,133.1605,5.120231,-12.438983,9.693649,2.4143,1.3330,0.5768,-1
968,-104.0121,-9.1227,16.5389,-0.688047,1.623927,-4.915885,2.7991,1.5000,4.8745,1
6082,6.8368,-10.9579,-43.9503,7.412651,-2.389156,-0.461499,2.1266,0.5000,0.2334,-1
9938,157.0866,65.1300,-11.0483,-9.792286,-7.568535,1.384086,2.4927,1.3330,5.7147,-1
7875,-2.5749,-31.9912,58.7797,16.572412,-4.581072,-4.706160,1.3465,1.5000,2.7496,1
9136,-76.8759,-42.0410,-75.3669,7.487389,1.164727,11.853788,1.6938,1.6180,2.3385,-1
1293,-5.2626,-57.7624,-12.6147,16.041613,2.600132,6.626827,0.6893,0.5000,4.7856,1
5119,230.9140,21.6356,21.1758,10.946654,2.147236,5.084748,1.6959,2.0000,2.5094,-1
3117,218.1834,143.5464,34.8713,12.750461,7.635984,5.130755,2.0518,0.5000,2.5722,1
9767,-153.9915,169.5280,-104.9965,-8.619630,8.456673,-8.496213,1.3658,1.5000,4.4733,-1
7846,59.6361,-4.1829,69.7756,10.065202,0.753643,17.512996,2.8503,0.5000,2.0277,-1
158981,163.6741,74.6102,108.7101,15.424160,8.097170,7.533426,7.2855,1.3330,2.3068,1
1600,-79.5379,-32.5910,137.4318,-3.258564,-3.647251,1.330560,1.8783,0.5000,4.2795,1
154593,70.1037,-120.6302,43.2761,4.575830,-11.782199,-2.633223,4.2228,1.0000,1.6384,-1
4183,219.4479,100.9425,48.3894,22.628541,13.784205,3.176883,2.9314,0.6660,4.4670,1
3775,-35.2576,41.4034,180.2223,-4.235717,2.902656,6.264966,1.4564,1.6180,2.0135,-1
2690,-71.5274,-173.1941,-153.7806,-2.316082,-5.633691,-8.833240,2.9024,1.0000,0.8499,-1
7398,71.7522,-75.8274,48.7518,7.885374,-3.746899,-4.635525,1.8750,0.6660,0.1273,1
651,-101.1288,-183.3869,-172.8066,-5.685266,-6.567738,-10.650902,2.0710,0.5000,4.4656,1
7184,8.5116,220.3944,-40.0944,3.824927,9.894938,-1.599978,0.7602,0.5000,3.1713,-1
9020,-65.6201,34.9544,150.9400,-2.250179,5.777630,3.042521,1.0028,1.5000,1.1097,-1
2090,-216.8014,-276.6071,55.4427,4.232209,5.771015,-2.854272,3.3846,0.5000,2.2266,-1
3031,-88.4770,-6.8230,133.6473,-14.952304,-3.517361,15.056202,2.7828,0.6660,1.4748,-1
4170,-26.0979,149.0463,-29.0934,-3.913261,11.063759,-0.238036,1.8593,1.6180,2.0318,1
5996,83.4257,-43.8277,156.3301,0.270780,-4.677287,7.580915,3.3577,2.0000,3.8851,-1
3210,63.9620,-113.4641,62.2705,-1.598715,-4.691274,1.115386,2.8190,1.6180,1.0194,-1
6953,21.2297,80.2171,-11.1737,4.718202,-1.535023,4.834074,3.2449,1.3330,4.1823,1
7189,-118.3886,-194.4200,-121.4090,-10.706816,-19.769368,-11.718645,3.2039,0.5000,2.3240,1
195,114.9651,48.5190,22.4724,9.957467,7.316540,-0.154524,2.0437,0.6660,3.6980,1
9567,93.7123,24.0021,-8.7540,5.865815,5.986209,3.860396,2.2002,0.6660,1.3885,-1
5679,87.4862,-89.7920,63.3233,3.752383,-10.263248,5.923077,3.1553,1.6180,0.1031,-1
3509,-58.7245,108.3130,54.1838,-5.204172,0.495346,5.997864,1.8828,0.6660,1.2152,1
6311,-89.0254,76.7553,-7.4571,-4.460396,7.633729,-4.720612,2.5683,1.6180,3.9868,-1
6665,69.6801,-46.9440,43.9020,-1.596656,0.599604,11.579609,3.4905,1.5000,2.0738,-1
3916,-48.2689,-125.1696,192.0832,-6.625613,-11.564347,20.084965,1.1956,1.6180,0.1195,-1
10,45.2085,-79.1049,-85.8566,3.304781,-7.792780,1.372547,2.5917,1.0000,0.1063,-1
837,-30.7318,-21.3337,94.2827,-4.012094,-9.069311,7.934349,3.3416,1.5000,0.3802,-1
8712,83.5397,-214.7723,18.6475,7.721255,-14.957490,3.282714,0.7712,0.6660,5.8555,-1
1415,65.6144,-3.7170,-13.6024,0.968462,-9.446817,-2.649631,3.0941,1.0000,0.9287,-1
961,-125.6155,121.1054,-36.8996,-12.167665,6.922421,-9.696593,1.6954,1.5000,4.7432,1
950,-223.6324,76.8754,72.4500,-10.076675,6.363278,6.441729,2.3714,1.3330,2.6700,1
8454,-35.4799,-41.1145,13.0216,11.737909,-6.382094,-13.798406,1.9817,2.0000,2.8531,1
1492,148.0117,45.6453,66.3307,17.262863,11.267238,5.912431,0.8123,1.0000,1.7945,-1
2911,-108.1732,109.5143,-112.2340,-1.765621,5.423956,-8.724515,0.9507,0.5000,0.5054,-1
8603,-93.1762,-75.2852,59.3358,-9.204384,-6.727891,-0.200442,3.4882,2.0000,0.9845,-1
6724,559.5699,-392.5157,58.5542,7.352798,0.385905,-0.412917,1.9926,1.3330,0.2009,-1
1456,-59.3046,-25.0144,-16.0567,-1.275634,-2.448208,1.444836,3.2996,0.6660,4.0028,1
2605,-145.0730,181.3734,-97.1264,-6.573996,7.469822,-8.520619,3.1061,1.0000,3.1241,1
1115,-191.9648,-167.0087,14.2334,-7.614790,-10.569332,1.233558,2.7690,1.0000,5.0882,-1
6832,16.5542,-33.1447,-16.5677,5.036353,2.311400,-4.119085,1.7955,2.0000,3.0807,-1
7793,-65.6950,70.1842,-230.4647,-0.782081,2.052667,-11.254566,0.8245,1.3330,1.3871,-1
4789,-13.4080,122.9206,-58.0672,1.494329,1.861252,-3.849602,1.4804,0.5000,3.7145,1
5109,10.8704,6.1332,-7.7530,-2.436455,-18.720595,-2.286867,2.9565,0.5000,5.9180,-1
