"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
44754,"1-Naphthamidine, N,N-diisopentyl-4-ethoxy-, hydrochloride","C23H35ClN2O","CCOC1=CC=C(C2=CC=CC=C21)C(=N)[NH+](CCC(C)C)CCC(C)C.[Cl-]",391.0
44755,"4-ethoxy-N,N-bis(3-methylbutyl)naphthalene-1-carboximidamide","C23H34N2O","CCOC1=CC=C(C2=CC=CC=C21)C(=N)N(CCC(C)C)CCC(C)C",354.5
44756,"1-Naphthamidine, N,N-diisopentyl-4-methoxy-, hydrochloride","C22H33ClN2O","CC(C)CC[NH+](CCC(C)C)C(=N)C1=CC=C(C2=CC=CC=C21)OC.[Cl-]",377.0
44757,"4-methoxy-N,N-bis(3-methylbutyl)naphthalene-1-carboximidamide","C22H32N2O","CC(C)CCN(CCC(C)C)C(=N)C1=CC=C(C2=CC=CC=C21)OC",340.5
44758,"4-Methoxy-N,N-di(propan-2-yl)naphthalene-1-carboximidamide--hydrogen chloride (1/1)","C18H25ClN2O","CC(C)[NH+](C(C)C)C(=N)C1=CC=C(C2=CC=CC=C21)OC.[Cl-]",320.9
44759,"4-methoxy-N,N-di(propan-2-yl)naphthalene-1-carboximidamide","C18H24N2O","CC(C)N(C(C)C)C(=N)C1=CC=C(C2=CC=CC=C21)OC",284.4
44760,"N-Benzyl-4-methoxy-N-methyl-8-(pyrrolidin-1-yl)-5,6,7,8-tetrahydronaphthalene-1-sulfonamide--hydrogen chloride (1/1)","C23H31ClN2O3S","CN(CC1=CC=CC=C1)S(=O)(=O)C2=C3C(CCCC3=C(C=C2)OC)[NH+]4CCCC4.[Cl-]",451.0
44761,"N-benzyl-4-methoxy-N-methyl-8-pyrrolidin-1-yl-5,6,7,8-tetrahydronaphthalene-1-sulfonamide","C23H30N2O3S","CN(CC1=CC=CC=C1)S(=O)(=O)C2=C3C(CCCC3=C(C=C2)OC)N4CCCC4",414.6
44762,"1-Naphthalenesulfinic acid, 8,8'-trithiodi-, disodium salt, dihydrate","C20H12Na2O4S5","C1=CC2=C(C=C(C=C2)S(=O)[O-])C(=C1)SSSC3=CC=CC4=C3C=C(C=C4)S(=O)[O-].[Na+].[Na+]",522.6
44763,"8-[(7-Sulfinonaphthalen-1-yl)trisulfanyl]naphthalene-2-sulfinic acid","C20H14O4S5","C1=CC2=C(C=C(C=C2)S(=O)O)C(=C1)SSSC3=CC=CC4=C3C=C(C=C4)S(=O)O",478.7
44764,"1-Naphthamide, 1,2,3,4-tetrahydro-4-(dimethylamino)-N,N-dimethyl-1-phenyl-, hydrochloride, dihydrate, (Z)-","C21H27ClN2O","C[NH+](C)C1CCC(C2=CC=CC=C12)(C3=CC=CC=C3)C(=O)N(C)C.[Cl-]",358.9
44765,"","C21H26N2O","CN(C)C1CCC(C2=CC=CC=C12)(C3=CC=CC=C3)C(=O)N(C)C",322.4
44766,"Benzilic acid, 2-(piperidinoamino)ethyl ester, hydrochloride","C21H27ClN2O3","C1CC[NH+](CC1)NCCOC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O.[Cl-]",390.9
44767,"2-(Piperidin-1-ylamino)ethyl 2-hydroxy-2,2-diphenylacetate","C21H26N2O3","C1CCN(CC1)NCCOC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O",354.4
44768,"1,4-Butanediol, 2,3-dichloro-, (+,-)-","C4H8Cl2O2","C(C(C(CO)Cl)Cl)O",159.01
44769,"4-Methoxy-N-methyl-8-(pyrrolidin-1-yl)-5,6,7,8-tetrahydronaphthalene-1-sulfonamide--hydrogen chloride (1/1)","C16H25ClN2O3S","CNS(=O)(=O)C1=C2C(CCCC2=C(C=C1)OC)[NH+]3CCCC3.[Cl-]",360.9
44770,"4-methoxy-N-methyl-8-pyrrolidin-1-yl-5,6,7,8-tetrahydronaphthalene-1-sulfonamide","C16H24N2O3S","CNS(=O)(=O)C1=C2C(CCCC2=C(C=C1)OC)N3CCCC3",324.4
44771,"Bicyclo(2.2.2)octane-2-methylamine, 3-(m-chlorophenyl)-N,N-dimethyl-, hydrochloride, (E)-","C17H25Cl2N","C[NH+](C)CC1C2CCC(C1C3=CC(=CC=C3)Cl)CC2.[Cl-]",314.3
44772,"1-[(2R)-3-(3-chlorophenyl)-2-bicyclo[2.2.2]octanyl]-N,N-dimethylmethanamine","C17H24ClN","CN(C)CC1C2CCC(C1C3=CC(=CC=C3)Cl)CC2",277.8
44773,"2,7-Naphthalenediamidine","C12H12N4","C1=CC(=CC2=C1C=CC(=C2)C(=N)N)C(=N)N",212.25
44774,"N,3-Dimethylhexan-3-amine--hydrogen chloride (1/1)","C8H20ClN","CCCC(C)(CC)[NH2+]C.[Cl-]",165.70
44775,"NA2FB N-Glycan","C8H19N","CCCC(C)(CC)NC",129.24
44776,"2-amino-3-(1H-imidazol-5-yl)propanethioic S-acid","C6H9N3OS","C1=C(NC=N1)CC(C(=O)S)N",171.22
44777,"dl-6-Dimethylamino-4,4-diphenyl-5-methyl-3-hexanone hydrochloride, monohydrate","C21H28ClNO","CCC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)C(C)C[NH+](C)C.[Cl-]",345.9
44778,"N-Ethyl-2-(furan-2-yl)-2-hydroxyethanimidic acid","C8H11NO3","CCNC(=O)C(C1=CC=CO1)O",169.18
44779,"N-(6-(Dimethylamino)-4,4-diphenyl-3-heptylidene)acetamide hydrochloride","C23H31ClN2O","CCC(=NC(=O)C)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl",387.0
44780,"N-[6-(dimethylamino)-4,4-diphenylheptan-3-ylidene]acetamide","C23H30N2O","CCC(=NC(=O)C)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2",350.5
44781,"5-Chloro-N,N-dimethyl-4,4-diphenylheptan-2-amine--hydrogen chloride (1/1)","C21H29Cl2N","CCC(C(CC(C)[NH+](C)C)(C1=CC=CC=C1)C2=CC=CC=C2)Cl.[Cl-]",366.4
44782,"5-chloro-N,N-dimethyl-4,4-diphenylheptan-2-amine","C21H28ClN","CCC(C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)Cl",329.9
44783,"Heptanedioic acid, 4-acetyl-4-methyl-, diallyl ester","C16H24O5","CC(=O)C(C)(CCC(=O)OCC=C)CCC(=O)OCC=C",296.36
44784,"Heptane-2,4-diyl bis(hydrogen carbonimidate)","C9H18N2O4","CCCC(CC(C)OC(=O)N)OC(=O)N",218.25
44785,"4-Ethyl-3,5-heptanedione dioxime","C9H18N2O2","CCC(C(=NO)CC)C(=NO)CC",186.25
44786,"2-Hydroxy-4,6,6-trimethylheptanenitrile","C10H19NO","CC(CC(C#N)O)CC(C)(C)C",169.26
44787,"Heptanethiol, 7-amino-","C7H17NS","C(CCCN)CCCS",147.28
44788,"3-Ethyl-2-hydroxyheptanoic acid","C9H18O3","CCCCC(CC)C(C(=O)O)O",174.24
44789,"2-Heptanol, 2,4-dimethyl-6-methylamino-, hydrochloride","C10H24ClNO","CC(CC(C)[NH2+]C)CC(C)(C)O.[Cl-]",209.76
